title,price,link
Hotel room in San Francisco,"$134 
$118 
night
$118 per night, originally $134",https://www.airbnb.com/rooms/52013923?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-28&check_out=2023-05-03&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Private room in San Francisco,"$57 
night
$57 per night",https://www.airbnb.com/rooms/759696702405689752?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Private room in South San Francisco,"$55 
night
$55 per night",https://www.airbnb.com/rooms/30962699?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-25&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Private room in San Francisco,"$100 
$66 
night
$66 per night, originally $100",https://www.airbnb.com/rooms/25592607?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Hotel room in San Francisco,"$146 
night
$146 per night",https://www.airbnb.com/rooms/561489475078914207?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-27&check_out=2023-05-04&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Private room in San Francisco,"$64 
$57 
night
$57 per night, originally $64",https://www.airbnb.com/rooms/35773458?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-02&check_out=2023-05-07&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Guesthouse in San Francisco,"$99 
night
$99 per night",https://www.airbnb.com/rooms/786420960296544151?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Guest suite in San Francisco,"$87 
night
$87 per night",https://www.airbnb.com/rooms/31695049?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Private room in San Francisco,"$85 
night
$85 per night",https://www.airbnb.com/rooms/17016637?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Apartment in Daly City,"$157 
$126 
night
$126 per night, originally $157",https://www.airbnb.com/rooms/867137812422792986?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-25&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Private room in San Francisco,"$82 
night
$82 per night",https://www.airbnb.com/rooms/46512891?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-28&check_out=2023-05-03&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Cottage in San Francisco,"$113 
night
$113 per night",https://www.airbnb.com/rooms/14990478?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-09-22&check_out=2023-09-27&previous_page_section_name=1000&federated_search_id=4c7730d4-2605-4661-ba8f-ce2e41a36fcf
Guest suite in San Francisco,"$142 
night
$142 per night",https://www.airbnb.com/rooms/14804950?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Private room in San Francisco,"$104 
night
$104 per night",https://www.airbnb.com/rooms/256176?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Private room in San Francisco,"$92 
night
$92 per night",https://www.airbnb.com/rooms/11437442?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-10&check_out=2023-05-17&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Guest suite in San Francisco,"$204 
$183 
night
$183 per night, originally $204",https://www.airbnb.com/rooms/51452654?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-11&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Private room in San Francisco,"$63 
night
$63 per night",https://www.airbnb.com/rooms/777171185923088744?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Guest suite in San Francisco,"$134 
night
$134 per night",https://www.airbnb.com/rooms/35516989?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Guest suite in San Francisco,"$99 
night
$99 per night",https://www.airbnb.com/rooms/778939654117848518?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-25&check_out=2023-06-30&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Apartment in San Francisco,"$250 
night
$250 per night",https://www.airbnb.com/rooms/849008854934112145?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-23&check_out=2023-05-28&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Private room in San Francisco,"$101 
$91 
night
$91 per night, originally $101",https://www.airbnb.com/rooms/817017027613797792?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-28&check_out=2023-05-03&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Hotel room in San Francisco,"$112 
$98 
night
$98 per night, originally $112",https://www.airbnb.com/rooms/51790474?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Private room in San Francisco,"$85 
night
$85 per night",https://www.airbnb.com/rooms/16678379?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Private room in South San Francisco,"$66 
$55 
night
$55 per night, originally $66",https://www.airbnb.com/rooms/21153027?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-21&check_out=2023-04-26&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Hotel room in San Francisco,"$102 
night
$102 per night",https://www.airbnb.com/rooms/827576681474524763?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Apartment in San Francisco,"$182 
night
$182 per night",https://www.airbnb.com/rooms/655162292495026750?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-11&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Guest suite in Daly City,"$98 
night
$98 per night",https://www.airbnb.com/rooms/53702834?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-11&check_out=2023-06-16&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Hotel room in San Francisco,"$93 
$80 
night
$80 per night, originally $93",https://www.airbnb.com/rooms/41545799?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-25&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Private room in San Francisco,"$84 
night
$84 per night",https://www.airbnb.com/rooms/647745552423137075?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-28&check_out=2023-05-04&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Hotel room in San Francisco,"$102 
$82 
night
$82 per night, originally $102",https://www.airbnb.com/rooms/870143641355893655?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-28&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=2ac93314-342d-4ab6-b14e-6ddf3c1ed043
Shared room in San Francisco,"$42 
night
$42 per night",https://www.airbnb.com/rooms/4464347?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Guest suite in San Francisco,"$87 
night
$87 per night",https://www.airbnb.com/rooms/12835527?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Guest suite in San Francisco,"$99 
$89 
night
$89 per night, originally $99",https://www.airbnb.com/rooms/585326?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Guest suite in San Francisco,"$111 
night
$111 per night",https://www.airbnb.com/rooms/53034831?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-07&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in San Francisco,"$68 
night
$68 per night",https://www.airbnb.com/rooms/34646493?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-24&check_out=2023-04-29&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in San Francisco,"$53 
night
$53 per night",https://www.airbnb.com/rooms/997382?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-29&check_out=2023-06-03&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in San Francisco,"$156 
$130 
night
$130 per night, originally $156",https://www.airbnb.com/rooms/847382624795692315?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
